tick,frame,fps,collect_s,learn_s,episodes,success_rate,fail_rate,timeout_rate,critic_loss,actor_loss,q1,target_q,stddev,replay_size,updates
1650,52800,25.5,0.663,30.750,0,0.0000,0.0000,0.0000,0.022588,-0.101892,0.08389,0.08364,0.29014,52800,400
1675,53600,25.3,0.679,30.933,0,0.0000,0.0000,0.0000,0.021657,-0.095670,0.07702,0.07712,0.28999,53600,400
1700,54400,25.4,0.678,30.823,0,0.0000,0.0000,0.0000,0.023686,-0.083826,0.06473,0.06463,0.28985,54400,400
1725,55200,25.5,0.673,30.682,0,0.0000,0.0000,0.0000,0.020854,-0.077068,0.05830,0.05815,0.28970,55200,400
1750,56000,25.4,0.698,30.752,0,0.0000,0.0000,0.0000,0.019771,-0.077050,0.05847,0.05855,0.28955,56000,400
1775,56800,25.6,0.664,30.637,0,0.0000,0.0000,0.0000,0.018616,-0.069962,0.05289,0.05272,0.28940,56800,400
1800,57600,25.2,0.671,31.021,0,0.0000,0.0000,0.0000,0.018803,-0.063741,0.04589,0.04591,0.28925,57600,400
1825,58400,25.5,0.664,30.695,0,0.0000,0.0000,0.0000,0.018488,-0.057181,0.03956,0.03949,0.28910,58400,400
1850,59200,25.5,0.668,30.659,0,0.0000,0.0000,0.0000,0.020312,-0.058208,0.03995,0.04000,0.28895,59200,400
1875,60000,25.5,0.683,30.653,32,0.0000,0.0000,1.0000,0.019346,-0.057052,0.03892,0.03886,0.28880,60000,400
1900,60800,25.5,0.691,30.635,0,0.0000,0.0000,0.0000,0.022134,-0.058345,0.03955,0.03954,0.28865,60800,400
1925,61600,25.5,0.657,30.752,0,0.0000,0.0000,0.0000,0.021203,-0.051168,0.03487,0.03469,0.28850,61600,400
1950,62400,25.4,0.662,30.795,0,0.0000,0.0000,0.0000,0.020517,-0.055488,0.03866,0.03876,0.28835,62400,400
1975,63200,25.4,0.677,30.859,0,0.0000,0.0000,0.0000,0.022474,-0.051883,0.03479,0.03463,0.28820,63200,400
2000,64000,25.2,0.664,31.045,0,0.0000,0.0000,0.0000,0.019771,-0.050073,0.03316,0.03337,0.28805,64000,400
2025,64800,25.4,0.675,30.789,0,0.0000,0.0000,0.0000,0.021034,-0.049559,0.03303,0.03302,0.28790,64800,400
2050,65600,25.1,0.676,31.134,0,0.0000,0.0000,0.0000,0.019440,-0.041646,0.02648,0.02657,0.28775,65600,400
2075,66400,24.8,0.671,31.611,0,0.0000,0.0000,0.0000,0.020349,-0.039234,0.02208,0.02205,0.28761,66400,400
2100,67200,24.8,0.693,31.531,0,0.0000,0.0000,0.0000,0.020689,-0.038834,0.02218,0.02213,0.28746,67200,400
2125,68000,24.7,0.684,31.675,0,0.0000,0.0000,0.0000,0.019390,-0.026086,0.01053,0.01040,0.28731,68000,400
2150,68800,24.7,0.682,31.642,0,0.0000,0.0000,0.0000,0.021730,-0.024771,0.00892,0.00879,0.28716,68800,400
2175,69600,24.7,0.668,31.669,0,0.0000,0.0000,0.0000,0.023548,-0.019866,0.00296,0.00303,0.28701,69600,400
2200,70400,24.8,0.685,31.567,0,0.0000,0.0000,0.0000,0.023722,-0.014123,-0.00242,-0.00255,0.28686,70400,400
2225,71200,24.7,0.674,31.738,0,0.0000,0.0000,0.0000,0.023039,-0.008055,-0.00738,-0.00736,0.28671,71200,400
2250,72000,24.8,0.693,31.613,32,0.0000,0.0000,1.0000,0.021450,-0.003600,-0.01182,-0.01183,0.28656,72000,400
2275,72800,24.7,0.665,31.712,0,0.0000,0.0000,0.0000,0.023273,0.001075,-0.01665,-0.01681,0.28641,72800,400
2300,73600,24.7,0.665,31.731,0,0.0000,0.0000,0.0000,0.022079,0.001186,-0.01718,-0.01731,0.28626,73600,400
2325,74400,24.7,0.707,31.703,0,0.0000,0.0000,0.0000,0.021697,-0.002876,-0.01352,-0.01357,0.28611,74400,400
