frame,tick,px_x,dist,end_d,end_x,a_x,a_y,a_w,reward,done,success,fail,timeout
3104,97,68.8209,6.4740,1.5000,0.0000,0.6895,-0.2524,0.3085,0.0063,0,0,0,0
3136,98,64.8679,6.4328,1.5000,0.0000,-0.5562,0.2756,-0.4634,-0.0155,0,0,0,0
3168,99,62.2961,6.4310,1.5000,0.0000,-0.7769,-0.8279,-0.2226,-0.0143,0,0,0,0
3200,100,63.3765,6.4318,1.5000,0.0000,0.7293,-0.7190,0.1998,0.0017,0,0,0,0
3232,101,64.1047,6.4366,1.5000,0.0000,0.4497,-0.7336,0.1553,-0.0004,0,0,0,0
3264,102,57.9844,6.3580,1.5000,0.0000,-0.7371,0.5447,-0.7076,-0.0205,0,0,0,0
3296,103,60.4986,6.4198,1.5000,0.0000,-0.5237,-0.1872,0.2572,0.0005,0,0,0,0
3328,104,52.7785,6.3249,1.5000,0.0000,-0.9429,-0.2162,-0.7980,-0.0256,0,0,0,0
3360,105,44.1354,6.1357,1.5000,0.0000,0.9962,-0.0104,-0.8019,-0.0179,0,0,0,0
3392,106,44.6541,6.1564,1.5000,0.0000,-0.0840,-0.5161,0.0882,-0.0033,0,0,0,0
3424,107,44.0226,6.1450,1.5000,0.0000,0.2754,-0.5688,-0.0016,-0.0044,0,0,0,0
3456,108,49.4098,6.2208,1.5000,0.0000,0.5084,0.3932,0.5073,0.0116,0,0,0,0
3488,109,57.2114,6.3825,1.5000,0.0000,-0.4609,-0.6934,0.8193,0.0116,0,0,0,0
3520,110,66.1916,6.5451,1.5000,0.0000,-0.4075,-0.3566,0.9536,0.0168,0,0,0,0
3552,111,74.4909,6.6536,1.5000,0.0000,-0.0236,0.7233,0.8379,0.0205,0,0,0,0
3584,112,73.8624,6.6406,1.5000,0.0000,-0.0552,0.6621,-0.1295,-0.0042,0,0,0,0
3616,113,65.6809,6.5401,1.5000,0.0000,-0.6373,0.7530,-0.9693,-0.0270,0,0,0,0
3648,114,63.9171,6.5389,1.5000,0.0000,-0.4985,-0.6635,-0.1445,-0.0107,0,0,0,0
3680,115,55.5557,6.4179,1.5000,0.0000,-0.1260,-0.9671,-0.7851,-0.0252,0,0,0,0
3712,116,54.6441,6.3924,1.5000,0.0000,0.0260,0.6220,-0.1435,-0.0039,0,0,0,0
3744,117,45.5359,6.2466,1.5000,0.0000,-0.6102,0.1158,-0.9254,-0.0254,0,0,0,0
3776,118,52.9946,6.3839,1.5000,0.0000,-0.0569,0.0207,0.7244,0.0131,0,0,0,0
3808,119,44.2328,6.2175,1.5000,0.0000,-0.1516,0.7735,-0.9226,-0.0213,0,0,0,0
3840,120,48.0204,6.2567,1.5000,0.0000,0.9995,-0.0547,0.4092,0.0090,0,0,0,0
3872,121,51.3706,6.3234,1.5000,0.0000,0.0650,-0.5311,0.3745,0.0036,0,0,0,0
3904,122,55.5770,6.3741,1.5000,0.0000,0.2895,0.8766,0.3583,0.0094,0,0,0,0
3936,123,49.1636,6.2662,1.5000,0.0000,-0.2023,0.1127,-0.6542,-0.0182,0,0,0,0
3968,124,44.3670,6.1899,1.5000,0.0000,-0.3018,-0.1356,-0.4622,-0.0149,0,0,0,0
