update,step,fps,sample_fps,collect_s,learn_s,done,success,fail,timeout,success_rate,fail_rate,timeout_rate,pi_loss,v_loss,teacher_loss,entropy,kl,std_mean,std_min,std_max,teacher_coef
11,360448,50.68168802634115,25949.02426948667,1.2627835120001691,0.536788962999708,26,0,26,0,0.0,1.0,0.0,-0.006163451686734334,0.19315265074837953,0.0,1.525785106793046,0.01011947454944675,0.40287768840789795,0.38232719898223877,0.43892332911491394,0.0
12,393216,54.82359333989451,28069.679790025988,1.167380613000205,0.5395897620001051,375,0,7,368,0.0,0.018666666666666668,0.9813333333333333,-0.008986574911614299,0.05415135878429282,0.0,1.5106262885034085,0.010104725459223118,0.39981210231781006,0.37792617082595825,0.43219298124313354,0.0
13,425984,56.31769311911766,28834.658876988244,1.1364101840008516,0.5487595189988497,1,0,0,1,0.0,0.0,1.0,-0.015057737487950362,0.008040885740774684,0.0,1.4613942634314299,0.010456200776752666,0.39244866371154785,0.36963924765586853,0.42068466544151306,0.0
14,458752,55.97731566863539,28660.38562234132,1.1433202759999403,0.5466962869995768,42,0,0,42,0.0,0.0,1.0,-0.011358655399817508,0.009852185221097898,0.0,1.4046911008656024,0.00966959502784448,0.38525980710983276,0.36225461959838867,0.4083023965358734,0.0
15,491520,55.26389903315708,28295.116304976425,1.15807970700007,0.5463998990016989,48,0,0,48,0.0,0.0,1.0,-0.00816238525803783,0.022329014248680324,0.0,1.3465095203369857,0.009313277373712481,0.37714385986328125,0.3554181158542633,0.39711934328079224,0.0
16,524288,58.52726386419227,29965.959098466443,1.0935074659992097,0.4857448669990845,24,0,1,23,0.0,0.041666666666666664,0.9583333333333334,-0.006296973184362287,0.04545567798195407,0.0,1.2617726650089025,0.008730208613633295,0.3651762008666992,0.34253233671188354,0.38102075457572937,0.0
17,557056,56.15007257270043,28748.83715722262,1.1398026229999232,0.4880334909994417,34,0,8,26,0.0,0.23529411764705882,0.7647058823529411,-0.003462822774599772,0.13201007790630684,0.0,1.185965108126402,0.007930649920581345,0.35613948106765747,0.3329552412033081,0.3683214485645294,0.0
18,589824,52.36435447414464,26810.549490762056,1.2222054609992483,0.5286123759997281,367,0,18,350,0.0,0.04904632152588556,0.9536784741144414,-0.0021577377076027913,0.1841530966339633,0.0,1.1364907927811145,0.005266482159822772,0.35209378600120544,0.3306143283843994,0.3661561608314514,0.0
19,622592,57.77523557115722,29580.920612432496,1.1077410479992977,0.4952916810016177,9,0,7,2,0.0,0.7777777777777778,0.2222222222222222,-0.0026038570402306506,0.06469175070233177,0.0,1.0720705050975083,0.006524555900978157,0.3426220417022705,0.32187598943710327,0.35720860958099365,0.0
20,655360,55.21940631712868,28272.336034369884,1.1590128230000118,0.5392432160006138,51,0,4,47,0.0,0.0784313725490196,0.9215686274509803,-0.0035674930732056964,0.061927207780536266,0.0,0.9889551281929017,0.008640798972555786,0.33323636651039124,0.31335604190826416,0.3520938754081726,0.0
