phase,step,update,t,env_id,px_x,dist,end_d,end_x,a_x,a_y,a_w,reward,done,success,fail,timeout,robot_x,robot_y,head_yaw,target_x,target_y
offline_val,3645440,890,2,1,110.3807,6.7344,1.5000,0.0000,1.0000,-0.0477,0.0948,0.0052,0,0,0,0,0.1200,-0.0043,0.0202,6.8515,0.2132
offline_val,3645440,890,2,2,75.1238,6.5825,1.5000,0.0000,1.0000,0.0354,0.2632,0.0078,0,0,0,0,0.1199,0.0063,0.0495,6.6044,2.1483
offline_val,3645440,890,2,3,68.2910,6.3367,1.5000,0.0000,1.0000,0.0597,0.3006,0.0084,0,0,0,0,0.1198,0.0095,0.0565,6.3293,2.4390
offline_val,3645440,890,2,4,191.5411,3.1141,1.5000,0.0000,0.6808,-0.0840,-0.1018,0.0016,0,0,0,0,0.0701,-0.0101,-0.0184,3.1496,-1.9227
offline_val,3645440,890,2,5,161.7803,3.2621,1.5000,0.0000,1.0000,-0.1231,-0.1110,0.0038,0,0,0,0,0.1199,-0.0150,-0.0204,3.3564,-1.2980
offline_val,3645440,890,2,6,-1.0000,0.0000,1.5000,0.0000,0.5449,0.0516,0.2186,-0.0128,0,0,0,0,0.0544,0.0032,0.0273,1.8013,-1.7001
offline_val,3645440,890,2,7,110.0238,4.4683,1.5000,0.0000,1.0000,-0.0961,-0.0096,0.0011,0,0,0,0,0.1200,-0.0107,0.0021,4.5881,0.0650
offline_val,3645440,890,2,8,153.1743,5.0940,1.5000,0.0000,1.0000,-0.0858,-0.0113,0.0013,0,0,0,0,0.1200,-0.0115,-0.0062,5.2042,-1.6143
offline_val,3645440,890,2,9,124.8416,2.4639,1.5000,0.0000,1.0000,-0.1130,-0.1412,0.0071,0,0,0,0,0.1182,-0.0133,-0.0224,2.5762,-0.3054
offline_val,3645440,890,2,10,30.4942,4.3744,1.5000,0.0000,1.0000,0.0410,0.2402,0.0061,0,0,0,0,0.1199,0.0059,0.0441,4.3722,2.8676
offline_val,3645440,890,2,11,193.3805,1.7793,1.5000,0.0000,0.2476,-0.0387,-0.0233,-0.0023,0,0,0,0,0.0125,-0.0028,-0.0025,1.7891,-1.0921
offline_val,3645440,890,2,12,134.7952,5.4218,1.5000,0.0000,1.0000,-0.1057,-0.0431,0.0030,0,0,0,0,0.1200,-0.0125,-0.0057,5.5364,-0.9696
offline_val,3645440,890,2,13,105.6280,6.2979,1.5000,0.0000,1.0000,-0.0474,0.0837,0.0046,0,0,0,0,0.1200,-0.0046,0.0169,6.4120,0.4022
offline_val,3645440,890,2,14,194.2220,2.3608,1.5000,0.0000,0.6137,-0.0881,-0.1164,0.0018,0,0,0,0,0.0741,-0.0107,-0.0204,2.4047,-1.5128
offline_val,3645440,890,2,15,19.7808,4.2311,1.5000,0.0000,0.8834,0.0399,0.2105,0.0050,0,0,0,0,0.1069,0.0052,0.0368,4.2275,3.0823
offline_val,3645440,890,2,16,59.0329,4.8743,1.5000,0.0000,1.0000,0.0478,0.2918,0.0084,0,0,0,0,0.1199,0.0086,0.0563,4.8776,2.2140
offline_val,3645440,890,2,17,113.9034,2.6857,1.5000,0.0000,0.9293,-0.0693,-0.0394,0.0036,0,0,0,0,0.1171,-0.0099,-0.0096,2.8024,-0.0741
offline_val,3645440,890,2,18,19.4562,5.4623,1.5000,0.0000,0.8477,0.0532,0.2413,0.0051,0,0,0,0,0.0986,0.0071,0.0426,5.3946,4.0237
offline_val,3645440,890,2,19,151.7870,4.1443,1.5000,0.0000,1.0000,-0.0969,-0.0351,0.0019,0,0,0,0,0.1199,-0.0131,-0.0113,4.2500,-1.2951
offline_val,3645440,890,2,20,81.2257,4.5379,1.5000,0.0000,1.0000,-0.0012,0.2075,0.0072,0,0,0,0,0.1200,0.0009,0.0351,4.6184,1.2058
offline_val,3645440,890,2,21,47.4507,4.4657,1.5000,0.0000,1.0000,0.0287,0.2498,0.0068,0,0,0,0,0.1199,0.0076,0.0502,4.4717,2.3885
offline_val,3645440,890,2,22,193.7144,4.3863,1.5000,0.0000,0.8812,-0.0580,-0.0266,-0.0004,0,0,0,0,0.0958,-0.0077,-0.0076,4.4617,-2.7261
offline_val,3645440,890,2,23,-1.0000,0.0000,1.5000,0.0000,0.2516,0.0503,0.1939,-0.0014,0,0,0,0,0.0385,0.0032,0.0258,4.9866,-4.1936
offline_val,3645440,890,2,24,164.5522,6.1147,1.5000,0.0000,1.0000,-0.0555,0.0087,0.0005,0,0,0,0,0.1200,-0.0060,0.0030,6.2419,-2.3949
offline_val,3645440,890,2,25,209.1915,2.6384,1.5000,0.0000,0.3252,-0.0782,-0.1112,0.0019,0,0,0,0,0.0409,-0.0096,-0.0207,2.6389,-1.9850
offline_val,3645440,890,2,26,82.5649,3.9252,1.5000,0.0000,1.0000,-0.0186,0.1614,0.0057,0,0,0,0,0.1200,0.0008,0.0319,4.0156,0.9912
offline_val,3645440,890,2,27,105.3299,5.0730,1.5000,0.0000,1.0000,-0.0554,0.0723,0.0041,0,0,0,0,0.1200,-0.0049,0.0157,5.1884,0.3281
offline_val,3645440,890,2,28,128.0144,5.7990,1.5000,0.0000,1.0000,-0.1127,-0.0562,0.0038,0,0,0,0,0.1200,-0.0124,-0.0065,5.9144,-0.7457
offline_val,3645440,890,2,29,61.3971,3.2333,1.5000,0.0000,1.0000,0.0440,0.2982,0.0093,0,0,0,0,0.1199,0.0068,0.0511,3.2864,1.3960
offline_val,3645440,890,2,30,204.1835,3.4604,1.5000,0.0000,0.7123,-0.0681,-0.0596,-0.0002,0,0,0,0,0.0794,-0.0075,-0.0088,3.5185,-2.4279
