phase,checkpoint,frame,episode,t,env_id,px_x,dist,end_d,end_x,a_x,a_y,a_w,reward,done,success,fail,timeout,robot_x,robot_y,head_yaw,target_x,target_y
offline_val,drqv2_062400.pt,1996800,0,1,37,211.5803,4.5338,1.5000,0.0000,0.4288,-0.6741,-1.0000,0.9970,0,0,0,0,0.0172,-0.0270,-0.0628,4.3297,-3.6875
offline_val,drqv2_062400.pt,1996800,0,1,38,197.7016,3.8167,1.5000,0.0000,0.9998,-1.0000,-0.9948,0.9970,0,0,0,0,0.0400,-0.0400,-0.0625,3.6961,-2.7242
offline_val,drqv2_062400.pt,1996800,0,1,39,95.9086,2.3768,1.5000,0.0000,1.0000,1.0000,0.9445,0.9970,0,0,0,0,0.0400,0.0400,0.0593,2.3957,0.4670
offline_val,drqv2_062400.pt,1996800,0,1,40,75.5314,5.9852,1.5000,0.0000,1.0000,1.0000,0.9971,0.9970,0,0,0,0,0.0400,0.0400,0.0626,5.9111,2.0468
offline_val,drqv2_062400.pt,1996800,0,1,41,61.3766,5.6898,1.5000,0.0000,1.0000,1.0000,0.9997,0.9970,0,0,0,0,0.0400,0.0400,0.0628,5.5831,2.5508
offline_val,drqv2_062400.pt,1996800,0,1,42,178.1839,5.8942,1.5000,0.0000,1.0000,-0.1193,0.5324,0.9970,0,0,0,0,0.0400,-0.0048,0.0335,6.0287,-2.7286
offline_val,drqv2_062400.pt,1996800,0,1,43,86.7312,4.9461,1.5000,0.0000,1.0000,0.9451,-0.4627,0.9970,0,0,0,0,0.0400,0.0378,-0.0291,5.0112,0.8300
offline_val,drqv2_062400.pt,1996800,0,1,44,117.0757,2.0665,1.5000,0.0000,1.0000,-0.5816,-0.9989,0.9970,0,0,0,0,0.0400,-0.0233,-0.0628,2.0975,-0.2313
offline_val,drqv2_062400.pt,1996800,0,1,45,187.4600,3.9444,1.5000,0.0000,0.9396,-1.0000,-0.3771,0.9970,0,0,0,0,0.0376,-0.0400,-0.0237,3.9281,-2.3628
offline_val,drqv2_062400.pt,1996800,0,1,46,125.4487,2.2338,1.5000,0.0000,1.0000,-0.9988,-0.7570,0.9970,0,0,0,0,0.0400,-0.0400,-0.0476,2.2606,-0.3710
offline_val,drqv2_062400.pt,1996800,0,1,47,17.2682,2.4426,1.5000,0.0000,0.1342,1.0000,1.0000,0.9970,0,0,0,0,0.0054,0.0400,0.0628,2.3343,1.9236
offline_val,drqv2_062400.pt,1996800,0,1,48,117.1161,3.3204,1.5000,0.0000,1.0000,0.9993,-1.0000,0.9970,0,0,0,0,0.0400,0.0400,-0.0628,3.3458,-0.2955
offline_val,drqv2_062400.pt,1996800,0,1,49,176.7272,3.4454,1.5000,0.0000,1.0000,-0.9264,-0.9995,0.9970,0,0,0,0,0.0400,-0.0371,-0.0628,3.3738,-1.9208
