frame,tick,px_x,dist,end_d,end_x,a_x,a_y,a_w,reward,done,success,fail,timeout
3008,94,46.0035,3.2163,1.5000,0.0000,-0.8456,-0.5342,0.6652,0.0152,0,0,0,0
3040,95,48.2181,3.2191,1.5000,0.0000,0.6895,-0.2524,0.3085,0.0065,0,0,0,0
3072,96,44.2936,3.1956,1.5000,0.0000,-0.5562,0.2756,-0.4634,-0.0176,0,0,0,0
3104,97,41.2016,3.2032,1.5000,0.0000,-0.7769,-0.8279,-0.2226,-0.0178,0,0,0,0
3136,98,41.4986,3.1954,1.5000,0.0000,0.7293,-0.7190,0.1998,-0.0007,0,0,0,0
3168,99,41.5407,3.1941,1.5000,0.0000,0.4497,-0.7336,0.1553,-0.0026,0,0,0,0
3200,100,35.3895,3.1464,1.5000,0.0000,-0.7371,0.5447,-0.7076,-0.0245,0,0,0,0
3232,101,38.4182,3.1962,1.5000,0.0000,-0.5237,-0.1872,0.2572,0.0043,0,0,0,0
3264,102,29.9674,3.1411,1.5000,0.0000,-0.9429,-0.2162,-0.7980,-0.0338,0,0,0,0
3296,103,19.2529,3.0001,1.5000,0.0000,0.9962,-0.0104,-0.8019,-0.0332,0,0,0,0
3328,104,19.5378,3.0151,1.5000,0.0000,-0.0840,-0.5161,0.0882,-0.0036,0,0,0,0
3360,105,18.1682,3.0039,1.5000,0.0000,0.2754,-0.5688,-0.0016,-0.0077,0,0,0,0
3392,106,24.4488,3.0488,1.5000,0.0000,0.5084,0.3932,0.5073,0.0194,0,0,0,0
3424,107,33.3253,3.1675,1.5000,0.0000,-0.4609,-0.6934,0.8193,0.0218,0,0,0,0
3456,108,43.5629,3.2907,1.5000,0.0000,-0.4075,-0.3566,0.9536,0.0273,0,0,0,0
3488,109,53.3461,3.3744,1.5000,0.0000,-0.0236,0.7233,0.8379,0.0302,0,0,0,0
3520,110,53.1386,3.3646,1.5000,0.0000,-0.0552,0.6621,-0.1295,-0.0027,0,0,0,0
3552,111,44.8727,3.2954,1.5000,0.0000,-0.6373,0.7530,-0.9693,-0.0312,0,0,0,0
3584,112,42.6765,3.2999,1.5000,0.0000,-0.4985,-0.6635,-0.1445,-0.0134,0,0,0,0
3616,113,32.5501,3.2145,1.5000,0.0000,-0.1260,-0.9671,-0.7851,-0.0375,0,0,0,0
3648,114,31.9303,3.1963,1.5000,0.0000,0.0260,0.6220,-0.1435,-0.0035,0,0,0,0
3680,115,21.8430,3.1041,1.5000,0.0000,-0.6102,0.1158,-0.9254,-0.0365,0,0,0,0
3712,116,30.5276,3.1985,1.5000,0.0000,-0.0569,0.0207,0.7244,0.0240,0,0,0,0
3744,117,21.0600,3.0879,1.5000,0.0000,-0.1516,0.7735,-0.9226,-0.0314,0,0,0,0
3776,118,24.7535,3.1010,1.5000,0.0000,0.9995,-0.0547,0.4092,0.0118,0,0,0,0
3808,119,28.2098,3.1458,1.5000,0.0000,0.0650,-0.5311,0.3745,0.0068,0,0,0,0
3840,120,33.4925,3.1771,1.5000,0.0000,0.2895,0.8766,0.3583,0.0167,0,0,0,0
3872,121,26.3286,3.1058,1.5000,0.0000,-0.2023,0.1127,-0.6542,-0.0261,0,0,0,0
3904,122,20.8535,3.0586,1.5000,0.0000,-0.3018,-0.1356,-0.4622,-0.0215,0,0,0,0
3936,123,22.4927,3.0858,1.5000,0.0000,0.0607,-0.6058,0.2257,0.0009,0,0,0,0
3968,124,29.8449,3.1584,1.5000,0.0000,0.1676,0.0464,0.6296,0.0207,0,0,0,0
4000,125,25.8936,3.1214,1.5000,0.0000,0.3540,-0.8403,-0.1827,-0.0160,0,0,0,0
4032,126,29.3556,3.1692,1.5000,0.0000,-0.2738,-0.1737,0.2945,0.0065,0,0,0,0
4064,127,39.9328,3.2992,1.5000,0.0000,-0.2919,-0.5679,1.0000,0.0280,0,0,0,0
4096,128,49.1874,3.4206,1.5000,0.0000,-0.3402,-1.0000,1.0000,0.0231,0,0,0,0
4128,129,58.6298,3.5281,1.5000,0.0000,-0.2973,-0.4930,1.0000,0.0257,0,0,0,0
4160,130,67.1004,3.6470,1.5000,0.0000,-1.0000,-0.7387,0.9414,0.0200,0,0,0,0
4192,131,75.3020,3.7569,1.5000,0.0000,-0.9421,-1.0000,1.0000,0.0199,0,0,0,0
4224,132,78.7285,3.7612,1.5000,0.0000,0.5324,-0.0428,0.4122,0.0118,0,0,0,0
4256,133,82.0716,3.7939,1.5000,0.0000,-0.4391,0.5435,0.2737,0.0078,0,0,0,0
4288,134,87.6838,3.8485,1.5000,0.0000,-0.7468,0.6393,0.5145,0.0152,0,0,0,0
4320,135,84.8375,3.8565,1.5000,0.0000,-0.6162,0.0656,-0.3555,-0.0167,0,0,0,0
4352,136,89.7401,3.8770,1.5000,0.0000,0.0142,0.5685,0.4754,0.0163,0,0,0,0
4384,137,92.7258,3.8925,1.5000,0.0000,-0.1653,0.6493,0.2395,0.0084,0,0,0,0
4416,138,101.7195,3.9049,1.5000,0.0000,0.3068,0.7740,0.9416,0.0356,0,0,0,0
4448,139,97.5438,3.8616,1.5000,0.0000,0.8456,-0.4474,-0.4099,-0.0162,0,0,0,0
4480,140,103.7133,3.8793,1.5000,0.0000,-0.0068,-0.5438,0.8186,0.0223,0,0,0,0
4512,141,111.7996,3.8740,1.5000,0.0000,0.3341,-0.2052,1.0000,0.0338,0,0,0,0
4544,142,102.0107,3.8495,1.5000,0.0000,0.3503,-1.0000,-1.0000,-0.0436,0,0,0,0
4576,143,106.2712,3.8497,1.5000,0.0000,0.1920,-0.2253,0.5457,0.0160,0,0,0,0
4608,144,103.6364,3.8537,1.5000,0.0000,-0.1715,-0.6234,-0.2118,-0.0153,0,0,0,0
4640,145,94.9046,3.8512,1.5000,0.0000,-0.4681,-0.9919,-0.8739,-0.0417,0,0,0,0
4672,146,89.0254,3.8431,1.5000,0.0000,-0.3761,-0.4057,-0.6276,-0.0282,0,0,0,0
4704,147,79.6635,3.7661,1.5000,0.0000,0.6789,-0.3155,-1.0000,-0.0352,0,0,0,0
4736,148,70.6548,3.6709,1.5000,0.0000,0.7752,0.2009,-1.0000,-0.0313,0,0,0,0
4768,149,60.6652,3.5949,1.5000,0.0000,-0.0912,-0.4258,-1.0000,-0.0381,0,0,0,0
4800,150,63.2592,3.6422,1.5000,0.0000,-0.4083,-0.7337,0.3596,0.0027,0,0,0,0
4832,151,53.1305,3.5285,1.5000,0.0000,0.5720,-0.0408,-1.0000,-0.0340,0,0,0,0
4864,152,64.7357,3.6497,1.5000,0.0000,-0.8208,0.9316,1.0000,0.0337,0,0,0,0
4896,153,69.3723,3.6930,1.5000,0.0000,0.0451,-0.4965,0.5759,0.0123,0,0,0,0
4928,154,72.7382,3.7345,1.5000,0.0000,-0.2381,-0.5624,0.4426,0.0068,0,0,0,0
4960,155,66.9879,3.6844,1.5000,0.0000,0.2011,-0.2850,-0.5694,-0.0224,0,0,0,0
4992,156,55.9408,3.5878,1.5000,0.0000,0.2251,-0.9033,-1.0000,-0.0402,0,0,0,0
5024,157,63.7981,3.6756,1.5000,0.0000,-0.2128,-0.5546,0.8827,0.0211,0,0,0,0
5056,158,68.6039,3.6997,1.5000,0.0000,0.7430,-0.7512,0.6696,0.0154,0,0,0,0
5088,159,69.3985,3.7208,1.5000,0.0000,-0.0740,-1.0000,0.2371,-0.0021,0,0,0,0
5120,160,72.4011,3.7532,1.5000,0.0000,-0.0670,-0.5401,0.4074,0.0064,0,0,0,0
5152,161,79.5884,3.8208,1.5000,0.0000,-0.1525,-0.9607,0.9408,0.0206,0,0,0,0
5184,162,83.5071,3.8672,1.5000,0.0000,-0.3327,-1.0000,0.5879,0.0087,0,0,0,0
5216,163,73.8326,3.8397,1.5000,0.0000,-0.8456,-0.7291,-1.0000,-0.0427,0,0,0,0
5248,164,77.2929,3.9114,1.5000,0.0000,-0.9565,-1.0000,0.4940,0.0035,0,0,0,0
5280,165,84.1776,3.9706,1.5000,0.0000,-0.1097,-1.0000,0.9257,0.0203,0,0,0,0
5312,166,74.6590,3.9237,1.5000,0.0000,-0.3573,-0.5375,-1.0000,-0.0396,0,0,0,0
5344,167,82.2725,3.9909,1.5000,0.0000,-0.0884,-1.0000,1.0000,0.0226,0,0,0,0
5376,168,82.8362,3.9727,1.5000,0.0000,0.7285,-0.6865,0.1938,0.0018,0,0,0,0
5408,169,72.7094,3.9046,1.5000,0.0000,0.0910,-0.8480,-1.0000,-0.0397,0,0,0,0
5440,170,79.8665,3.9430,1.5000,0.0000,0.5664,-0.6252,0.9155,0.0241,0,0,0,0
5472,171,69.5998,3.8650,1.5000,0.0000,0.2548,-1.0000,-0.9733,-0.0391,0,0,0,0
5504,172,76.2745,3.9193,1.5000,0.0000,0.2715,-1.0000,0.8954,0.0200,0,0,0,0
5536,173,78.5344,3.9120,1.5000,0.0000,0.9007,-1.0000,0.4417,0.0080,0,0,0,0
5568,174,68.8626,3.8684,1.5000,0.0000,-0.6799,-0.5998,-1.0000,-0.0407,0,0,0,0
5600,175,72.3768,3.9154,1.5000,0.0000,-0.2674,-0.7042,0.4739,0.0068,0,0,0,0
5632,176,67.0523,3.9139,1.5000,0.0000,-1.0000,-0.6353,-0.5269,-0.0266,0,0,0,0
5664,177,56.9633,3.8604,1.5000,0.0000,-0.9709,-0.7061,-1.0000,-0.0414,0,0,0,0
5696,178,46.2823,3.7907,1.5000,0.0000,-1.0000,-0.8222,-1.0000,-0.0420,0,0,0,0
5728,179,39.2590,3.7571,1.5000,0.0000,-1.0000,-1.0000,-0.5921,-0.0302,0,0,0,0
5760,180,27.2917,3.6586,1.5000,0.0000,-1.0000,-1.0000,-1.0000,-0.0441,0,0,0,0
5792,181,22.6842,3.6169,1.5000,0.0000,-0.8838,0.5191,-0.5189,-0.0184,0,0,0,0
5824,182,36.3830,3.7917,1.5000,0.0000,-0.8356,1.0000,0.9929,0.0363,0,0,0,0
5856,183,26.9713,3.7070,1.5000,0.0000,-0.9631,-0.1968,-0.8679,-0.0344,0,0,0,0
5888,184,20.7413,3.6210,1.5000,0.0000,-0.3682,1.0000,-0.6684,-0.0201,0,0,0,0
5920,185,33.8543,3.7931,1.5000,0.0000,-0.8813,0.9054,0.9345,0.0340,0,0,0,0
5952,186,24.5344,3.6886,1.5000,0.0000,-1.0000,1.0000,-1.0000,-0.0315,0,0,0,0
5984,187,30.4867,3.7740,1.5000,0.0000,-1.0000,0.9882,0.3088,0.0129,0,0,0,0
6016,188,22.1180,3.6727,1.5000,0.0000,-0.5781,0.6800,-0.8334,-0.0277,0,0,0,0
6048,189,35.3322,3.8356,1.5000,0.0000,-0.4237,0.8393,1.0000,0.0356,0,0,0,0
6080,190,24.7938,3.7299,1.5000,0.0000,-1.0000,0.1302,-1.0000,-0.0368,0,0,0,0
6112,191,30.9985,3.8176,1.5000,0.0000,-0.9456,1.0000,0.3365,0.0137,0,0,0,0
6144,192,21.2371,3.6992,1.5000,0.0000,-0.8076,0.9631,-1.0000,-0.0318,0,0,0,0
6176,193,32.9460,3.8305,1.5000,0.0000,-0.0252,1.0000,0.8737,0.0329,0,0,0,0
6208,194,22.8401,3.7057,1.5000,0.0000,-0.5835,0.7724,-1.0000,-0.0325,0,0,0,0
6240,195,31.8964,3.7878,1.5000,0.0000,0.7587,0.6156,0.7572,0.0272,0,0,0,0
6272,196,22.0008,3.6793,1.5000,0.0000,-1.0000,0.7067,-1.0000,-0.0336,0,0,0,0
6304,197,34.8638,3.8165,1.5000,0.0000,0.2207,1.0000,1.0000,0.0373,0,0,0,0
6336,198,29.5896,3.7605,1.5000,0.0000,-0.9049,1.0000,-0.6533,-0.0196,0,0,0,0
6368,199,19.9813,3.6494,1.5000,0.0000,-0.9920,1.0000,-1.0000,-0.0320,0,0,0,0
6400,200,33.8521,3.8381,1.5000,0.0000,-1.0000,0.8056,1.0000,0.0353,0,0,0,0
6432,201,24.0095,3.7310,1.5000,0.0000,-1.0000,0.6672,-1.0000,-0.0336,0,0,0,0
6464,202,34.6002,3.8219,1.5000,0.0000,1.0000,0.7917,0.8966,0.0329,0,0,0,0
6496,203,26.6730,3.7319,1.5000,0.0000,-0.6878,0.6319,-0.8173,-0.0271,0,0,0,0
6528,204,23.7525,3.6892,1.5000,0.0000,-0.4364,1.0000,-0.3999,-0.0107,0,0,0,0
6560,205,26.3006,3.6824,1.5000,0.0000,0.7803,0.9303,0.1630,0.0092,0,0,0,0
6592,206,17.7138,3.5437,1.5000,0.0000,0.4702,1.0000,-0.7901,-0.0240,0,0,0,0
6624,207,26.8692,3.6314,1.5000,0.0000,0.8442,0.1763,0.8027,0.0269,0,0,0,0
6656,208,21.5256,3.5304,1.5000,0.0000,0.7335,0.8060,-0.4873,-0.0142,0,0,0,0
6688,209,29.0146,3.5774,1.5000,0.0000,0.9112,1.0000,0.5801,0.0246,0,0,0,0
6720,210,17.7507,3.4320,1.5000,0.0000,-0.0011,0.5256,-1.0000,-0.0351,0,0,0,0
6752,211,30.2213,3.5648,1.5000,0.0000,0.2859,0.4950,1.0000,0.0361,0,0,0,0
6784,212,20.3962,3.4560,1.5000,0.0000,-0.8345,0.8477,-1.0000,-0.0333,0,0,0,0
6816,213,32.9827,3.5676,1.5000,0.0000,0.7020,1.0000,1.0000,0.0392,0,0,0,0
6848,214,23.3188,3.4517,1.5000,0.0000,-0.5305,1.0000,-1.0000,-0.0316,0,0,0,0
6880,215,36.0549,3.5730,1.5000,0.0000,0.3350,1.0000,1.0000,0.0387,0,0,0,0
6912,216,27.0270,3.4807,1.5000,0.0000,-1.0000,1.0000,-1.0000,-0.0318,0,0,0,0
6944,217,17.4343,3.3771,1.5000,0.0000,-1.0000,1.0000,-1.0000,-0.0329,0,0,0,0
6976,218,30.2590,3.4992,1.5000,0.0000,0.4836,0.8552,1.0000,0.0390,0,0,0,0
7008,219,21.9528,3.4128,1.5000,0.0000,-1.0000,1.0000,-0.9131,-0.0293,0,0,0,0
7040,220,29.9805,3.4726,1.5000,0.0000,0.8807,0.5302,0.6846,0.0254,0,0,0,0
7072,221,18.5674,3.2943,1.5000,0.0000,1.0000,0.9819,-1.0000,-0.0317,0,0,0,0
